<Phenotype>																					
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
Amur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Greenar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Manska	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nebraska50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oahe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI273732	57.19	39.42	4.08	16.67	-8.47	599.00	84.00	27.00	34.25	220.00	91.00	220.00	108.00	8.48	23.50	1023.55	23.10	-13.00	36.10	16.67	-2.43
PI273733	51.73	36.19	6.16	18.23	-6.23	639.00	81.00	36.00	24.73	211.00	117.00	211.00	125.00	8.07	23.68	1007.48	24.00	-10.10	34.10	18.23	-5.08
PI273737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI286118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI297872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI297876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI314054	47.60	41.05	9.29	21.63	-3.35	505.00	56.00	30.00	20.63	157.00	100.00	146.00	121.00	8.91	24.68	1028.65	28.60	-7.50	36.10	19.90	-2.18
PI314140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI314189	41.78	70.26	7.25	18.15	-3.88	795.00	113.00	12.00	53.03	291.00	52.00	67.00	263.00	12.07	32.79	899.11	27.20	-9.60	36.80	0.92	17.63
PI314190	41.78	70.26	7.25	18.15	-3.88	795.00	113.00	12.00	53.03	291.00	52.00	67.00	263.00	12.07	32.79	899.11	27.20	-9.60	36.80	0.92	17.63
PI314191	41.78	70.26	7.25	18.15	-3.88	795.00	113.00	12.00	53.03	291.00	52.00	67.00	263.00	12.07	32.79	899.11	27.20	-9.60	36.80	0.92	17.63
PI314192	41.34	70.52	1.25	12.23	-9.95	610.00	88.00	17.00	42.26	235.00	66.00	66.00	159.00	12.36	32.18	929.00	22.20	-16.20	38.40	-0.55	12.23
PI314193	42.34	71.52	0.30	11.17	-11.32	531.00	72.00	22.00	35.12	195.00	79.00	109.00	119.00	14.21	34.82	954.69	21.80	-19.00	40.80	-1.43	11.13
PI314610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
