PI_Accession,Latitude,Longitude,Trials_Evaluated,Country_Origin,Latitude_DMS,Longitude_DMS,Cultivar_Name,PC1,PC2,PC3,PC4,PC5,K_2,K_3,K_4,K_5,CP,DMY,IVTD,NDF,FTH,PTHT,SDMG,PLYLD,CP_2008,CP_2009,DMY_2008,DMY_2009,IVTD_2008,IVTD_2009,NDF_2008,NDF_2009,FTH_2007,FTH_2008,FTH_2009,PTHT_2007,PTHT_2008,PTHT_2009,SDMG_2007,SDMG_2008,SDMG_2009,PLYLD_2007,PLYLD_2008,PLYLD_2009,ZDK_2008
PI220497,35.92194444,64.77638889,Agronomic/Forage,Afghanistan,35 55 19N,64 46 35E,NA,4.446611155,24.66271245,-14.02353524,9.02363484,-17.69514652,1,2,3,1,8.924409839,1.540932397,68.59723795,62.8778342,16.24419559,102.05118,5.806306865,9.036758282,9.071139726,9.113746806,1.253894658,2.51544742,68.53701954,65.90176008,61.16883869,66.34572849,10.2664645,17.27038931,11.40027045,97.55635408,104.733461,107.6046158,5.919099941,6.243235572,5.402569857,9.661725669,17.99667244,7.931430055,49.03010901
PI220498,34.95138889,62.18638889,Agronomic,Afghanistan,34 57 05N,62 11 11E,NA,-32.17112345,24.89761855,-10.88025976,6.425297475,-17.40710474,1,2,3,1,NA,NA,NA,NA,17.11580768,101.4195848,5.831157264,8.426984709,NA,NA,NA,NA,NA,NA,NA,NA,12.93883343,24.27425988,13.3735973,95.03346548,104.733461,100.021786,5.553338681,7.360711592,5.727405144,10.90060179,7.573745408,10.03856221,48.02100271
PI222961,35.73416667,51.27027778,Agronomic/Forage,Iran,35 44 03N,51 16 13E,NA,-20.16151563,25.34286894,-10.09021698,10.27295058,-18.79916571,1,2,3,1,8.808455909,1.443300078,69.24750062,62.8422553,17.15899567,101.7353824,5.771852447,7.817638746,8.81192591,8.105593939,0.629284076,2.235767578,68.68194465,68.95254185,60.25275587,65.89834259,12.68672315,28.96146557,9.781130472,102.6021313,114.9805417,87.38373637,4.852296267,6.486390076,4.763211513,10.18008388,7.437332888,3.373036113,50.03921532
PI223230,35.84944444,66.84611111,Agronomic,Afghanistan,35 50 58N,66 50 46E,NA,-50.75598798,17.85912951,-6.179801474,5.485344405,-6.976361755,1,2,3,1,NA,NA,NA,NA,17.90496998,101.5774836,5.774133402,8.61598886,NA,NA,NA,NA,NA,NA,NA,NA,17.22470814,26.42929698,17.21905475,92.51057689,112.4187715,97.49417608,4.583055339,6.486390076,5.134451841,8.941207757,15.33915445,6.242547746,49.03010901
PI223668,38.36666667,47.18333333,Agronomic/Forage,Iran,38 22 00N,47 11 00E,NA,-17.90208478,-16.52948487,-4.786537719,-11.49412875,-34.69257305,1,1,1,4,9.225677591,1.47529433,70.38364352,62.75902264,17.98741977,102.5248764,5.831157264,7.286545634,11.41898105,10.35195763,0.769824702,2.397170378,70.94892729,72.59742712,59.05354355,63.74262085,16.41795525,30.41611561,15.34692415,97.55635408,114.9805417,105.0770059,5.929259976,7.308976591,5.397413741,5.12609133,6.957362908,2.462416185,47.01189641
PI228274,31.95083333,51.29222222,Agronomic,Iran,31 57 03N,51 17 32E,NA,-27.5247328,-13.37652323,-2.094511957,12.22743442,-5.680800532,1,1,1,5,NA,NA,NA,NA,18.29758803,102.2090788,5.863810929,7.636759208,NA,NA,NA,NA,NA,NA,NA,NA,22.11564751,31.27813044,12.81701793,100.0792427,117.5423118,94.96656616,6.12230064,7.8004591,6.11411382,7.66604656,7.67479172,3.452450642,46.0027901
PI228386,35.24722222,47.02777778,Agronomic,Iran,35 14 50N,47 01 40E,NA,-26.96956533,-7.649780313,0.040788218,4.190348345,3.609800775,1,1,1,5,NA,NA,NA,NA,19.14956922,102.5248764,5.838720429,7.820204413,NA,NA,NA,NA,NA,NA,NA,NA,16.51879936,44.42385674,17.06726038,102.6021313,120.104082,94.96656616,5.324737894,7.893582102,5.753185723,5.551145062,12.26734658,3.071260905,51.04832162
PI229475,38.08333333,47.93333333,Agronomic/Forage,Iran,38 05 00N,47 56 00E,NA,-6.494461995,-9.602212314,-2.899704435,-4.385835672,-1.400135109,1,1,1,4,9.025130211,1.40157634,69.6397998,62.81020207,15.90654406,101.7353824,5.787819129,7.811652189,10.44862849,8.95672709,0.505349838,1.960750473,68.90588725,70.57555761,60.02243624,64.82791573,7.190719119,10.64365024,16.35888664,100.0792427,104.733461,100.021786,4.908176459,6.279450072,5.598502252,6.370151034,12.66142719,1.715919617,41.96636489
PI229576,32.01833333,50.74861111,Agronomic,Iran,32 01 06N,50 44 55E,NA,-30.92258782,-5.079049727,-0.961601486,11.22863668,-3.081337067,1,1,1,5,NA,NA,NA,NA,16.26775267,101.261686,5.781096315,7.48452962,NA,NA,NA,NA,NA,NA,NA,NA,11.32532766,10.9669058,16.56127913,89.9876883,107.2952311,100.021786,4.664335619,6.615727578,5.222105808,1.290240574,11.59033629,3.976586531,50.03921532
PI229577,32.01833333,50.74861111,Agronomic,Iran,32 01 06N,50 44 55E,NA,-0.142350012,-8.645837272,4.110056024,-11.32424952,9.907876935,1,1,1,4,NA,NA,NA,NA,18.21513824,101.7353824,5.819272291,7.317761251,NA,NA,NA,NA,NA,NA,NA,NA,15.4599362,27.93782294,21.57049344,100.0792427,114.9805417,89.9113463,5.990220186,6.781279582,5.3510087,2.347691323,10.19589719,2.292998524,50.03921532
