PI_Accession,Latitude,Longitude,Trials_Evaluated,Country_Origin,Latitude_DMS,Longitude_DMS,Cultivar_Name,PC1,PC2,PC3,PC4,PC5,K_2,K_3,K_4,K_5,CP,DMY,IVTD,NDF,FTH,PTHT,SDMG,PLYLD,CP_2008,CP_2009,DMY_2008,DMY_2009,IVTD_2008,IVTD_2009,NDF_2008,NDF_2009,FTH_2007,FTH_2008,FTH_2009,PTHT_2007,PTHT_2008,PTHT_2009,SDMG_2007,SDMG_2008,SDMG_2009,PLYLD_2007,PLYLD_2008,PLYLD_2009,ZDK_2008
PI383570,38.08916667,30.82916667,Agronomic/Forage,Turkey,38 05 21N,30 49 45E,NA,67.56460679,-7.221171057,47.6151294,38.20808598,-8.671357309,2,3,4,3,8.798982601,1.585801102,69.47734028,62.82022215,16.19708142,103.9459656,5.804986313,8.770784115,8.206427191,8.790765193,1.140126473,3.079829397,70.23475958,68.54766035,60.48308983,64.94937332,5.072992794,26.32154512,7.504214877,110.1707971,125.2276224,105.0770059,5.563498716,6.491563576,5.459287129,8.168854024,18.29981138,5.845475103,46.0027901
PI383571,39.67555556,32.83972222,Agronomic,Turkey,39 40 32N,32 50 23E,NA,-33.02281618,-9.06855601,-0.258619732,-10.6037808,-15.0281381,1,1,1,4,NA,NA,NA,NA,20.54728951,100.1563944,5.828156008,6.736210017,NA,NA,NA,NA,NA,NA,NA,NA,23.52746506,57.24632746,16.00469977,77.37324532,104.733461,97.49417608,5.446658314,7.893582102,5.175700767,0.580089827,5.26483719,2.065343542,39.44359913
PI383573,38.69611111,34.92583333,Agronomic,Turkey,38 41 46N,34 55 33E,NA,-22.9998578,-9.375433642,6.261160819,0.865636425,-4.149451205,1,1,1,4,NA,NA,NA,NA,17.42204976,102.2090788,5.790700334,7.602977923,NA,NA,NA,NA,NA,NA,NA,NA,15.81289059,24.54363952,14.18316729,95.03346548,125.2276224,92.43895623,5.014856827,7.21585359,4.680713662,4.763240583,8.750934938,4.871323553,46.0027901
PI383574,39.50555556,39.94333333,Agronomic,Turkey,39 30 20N,39 56 36E,NA,-15.46812531,-4.995063543,15.40082096,12.08071399,-11.44477963,1,1,1,4,NA,NA,NA,NA,18.38789019,102.1261444,5.82371415,7.654718878,NA,NA,NA,NA,NA,NA,NA,NA,19.94749912,36.66572319,11.0966817,90.7222427,120.104082,100.021786,5.497458489,7.23654759,5.588190021,4.980951031,9.352160491,4.659551476,49.03010901
PI383575,40.10416667,40.71638889,Agronomic,Turkey,40 06 15N,40 42 59E,NA,-32.17640556,-18.40293854,3.020915144,-15.79815722,-18.18838694,1,1,1,4,NA,NA,NA,NA,16.24026941,100.7879896,5.769331392,8.187522436,NA,NA,NA,NA,NA,NA,NA,NA,11.42617177,17.0548856,10.38830796,92.51057689,112.4187715,84.85612645,5.101217124,5.860396565,5.026173412,5.359352524,18.36043916,1.430027314,47.01189641
PI383576,40.61555556,43.40583333,Agronomic,Turkey,40 36 56N,43 24 21E,NA,-36.6224537,-9.175773748,2.818403732,-13.01880753,-16.52286748,1,1,1,4,NA,NA,NA,NA,18.101279,101.7353824,5.774373502,7.472984117,NA,NA,NA,NA,NA,NA,NA,NA,10.72026299,31.9785175,21.0645122,89.9876883,117.5423118,97.49417608,4.826896179,6.501910576,4.881802173,6.43235402,5.775121063,4.675434382,49.03010901
PI383577,39.63166667,44.04361111,Agronomic,Turkey,39 37 54N,44 02 37E,NA,-26.36711323,-11.84046101,-3.743375239,-9.438146543,-24.66459288,1,1,1,4,NA,NA,NA,NA,16.21278615,101.8932812,5.782176768,7.27457252,NA,NA,NA,NA,NA,NA,NA,NA,5.425947181,25.51340621,8.111392369,97.55635408,112.4187715,97.49417608,5.009776809,6.936484584,4.598215811,4.410757,7.508065306,2.467710487,47.01189641
PI383578,39.63166667,44.04361111,Agronomic,Turkey,39 37 54N,44 02 37E,NA,-41.79336633,-16.48423383,-4.659076109,-7.574928101,-11.75339641,1,1,1,4,NA,NA,NA,NA,17.2335931,99.99849563,5.762488529,7.223259176,NA,NA,NA,NA,NA,NA,NA,NA,12.58587904,18.77891528,20.40673658,74.85035673,109.8570013,92.43895623,4.21729408,6.16563307,5.325228122,1.2539555,10.08474625,2.356530147,41.96636489
PI401014,41.44916667,31.87805556,Agronomic/Forage,Turkey,41 26 57N,31 52 41E,NA,73.51184201,-0.451368966,44.97663109,38.97304901,-5.646565352,2,3,4,3,9.072471937,1.62363977,70.14652063,62.8015447,16.68392782,104.5775608,5.789980033,8.488560722,10.13013171,9.444795142,1.194151288,3.39270927,70.93326221,71.14456311,59.51968791,65.12095739,8.300004337,33.1637879,4.114140546,115.2165742,120.104082,115.1874456,5.284097754,6.351879074,5.237574155,11.68332269,9.902862889,7.560828921,44.9936838
PI401015,41.745,35.09361111,Agronomic/Forage,Turkey,41 44 42N,35 05 37E,NA,76.39174609,-6.354872799,47.38056707,35.11081009,2.213994411,2,3,4,3,8.740476055,1.359699734,70.90070849,62.85656559,15.60422816,105.3670548,5.800784554,8.741278942,9.848257509,5.953654687,0.425469408,1.636327978,71.23860061,74.54735139,60.85949947,65.87756276,6.031011846,16.57000226,8.060794244,115.2165742,135.4747031,112.6598356,5.533018611,6.13976557,5.660375641,10.02976,19.19407123,2.64242245,38.43449283
PI401016,41.02361111,41.7175,Agronomic/Forage,Turkey,41 01 25N,41 43 03E,NA,64.93118027,-5.977686457,46.19022472,38.09244873,-4.220445743,2,3,4,3,8.987303569,1.61875591,69.61792385,62.80537565,16.970539,105.0512572,5.810988824,8.153313539,10.06253141,8.543010469,1.279219441,3.252240309,68.40808223,71.04247911,60.19720005,64.68150111,10.61941888,22.76573391,15.2457279,110.1707971,135.4747031,112.6598356,5.771779433,6.445002075,5.552097211,13.02587045,7.886988974,4.151298493,35.40717392
PI401017,40.60805556,43.0975,Agronomic/Forage,Turkey,40 36 29N,43 05 51E,NA,87.27034573,-7.842089401,46.64295622,38.12881091,3.018808066,2,3,4,3,8.972125846,1.528148334,70.24537192,62.76958701,15.38828822,103.4722692,5.762128378,8.239263391,10.57872157,7.688438017,1.019922736,2.644311357,71.44790515,71.12175636,59.25283503,64.25075324,6.333544178,10.53589839,10.64129859,110.1707971,127.7893925,94.96656616,5.314577859,5.503425058,4.856021595,8.08591671,15.08148636,2.721836979,41.96636489
PI401018,40.60805556,43.0975,Agronomic/Forage,Turkey,40 36 29N,43 05 51E,NA,85.15167191,-7.813640514,52.34945918,38.4556896,2.408919863,2,3,4,3,8.411641527,1.479833877,69.58605948,62.91151209,15.60422816,103.7880668,5.799343951,8.331199799,7.552084877,5.145168866,1.053961475,2.132785113,69.21453819,70.08938961,62.81693887,66.11134472,8.199160226,20.71844867,1.989019324,107.6479085,127.7893925,102.5493959,5.710819223,5.948346066,5.608814484,11.86993164,12.8584675,2.324764336,38.43449283
PI401019,39.94416667,32.78888889,Agronomic/Forage,Turkey,39 56 39N,32 47 20E,NA,-12.98077259,-7.477052864,8.384312292,-0.506676698,-4.486402485,1,1,1,4,8.936297173,1.412929215,68.28839045,62.82894614,17.41812358,100.472192,5.777734909,7.136881713,9.876440168,8.194202834,0.853630339,1.693531462,65.91166602,66.97797783,60.9466574,64.85779338,7.543673507,38.0664973,9.730532348,79.89613392,112.4187715,92.43895623,4.323974447,6.770932581,5.268510849,0.320910721,9.377422069,2.981257772,41.96636489
PI401020,39.78027778,30.50805556,Agronomic/Forage,Turkey,39 46 49N,30 30 29E,NA,32.11890594,-8.627003022,26.31395368,17.0776932,-9.11874401,2,3,4,4,9.197474435,1.431964449,70.34642645,62.76561142,16.76245143,101.4195848,5.771852447,8.09302036,10.34069235,10.62209908,0.679881721,2.069416774,69.3448673,73.69539413,59.33108386,64.04861893,13.34220987,18.29403193,14.03137292,97.55635408,117.5423118,84.85612645,4.923416512,6.600207078,4.577591348,9.666909251,12.58059014,1.917103089,48.02100271
PI401021,39.78027778,30.50805556,Agronomic/Forage,Turkey,39 46 49N,30 30 29E,NA,0.079719015,-14.36870394,12.47326226,-1.630336653,-8.734315482,1,1,1,4,9.320917763,1.455576028,71.05254505,62.74807664,19.0121529,101.8932812,5.820232693,9.084650737,11.57968202,10.43037369,0.539082512,2.454418806,70.9018576,75.62575465,59.12365302,63.62254387,24.53590616,27.88394702,22.78484843,92.51057689,117.5423118,97.49417608,6.188340868,6.543298577,5.428350435,14.40988687,18.10277107,3.563630982,41.96636489
PI401023,45.14916667,39.58055556,Agronomic,Russia,45 08 57N,39 34 50E,NA,73.50820165,0.140032691,-3.579655012,8.144654383,-2.546072814,2,3,4,3,NA,NA,NA,NA,15.90261788,101.8932812,5.792140937,7.79754102,NA,NA,NA,NA,NA,NA,NA,NA,8.905069001,18.88666714,6.84643926,89.9876883,117.5423118,100.021786,5.974980133,5.912131566,5.067422338,2.570585354,11.23162189,6.92021839,35.40717392
PI401121,36.64583333,51.40694444,Agronomic/Forage,Iran,36 38 45N,51 24 25E,NA,-27.95390747,31.92087355,10.07255172,20.04549238,-4.030913619,1,2,3,1,8.715894919,1.613135087,68.12124608,62.90305879,16.41302136,103.3143704,5.807267267,9.030771725,9.046432293,6.720993965,1.162629041,3.323816445,67.08755432,64.99551782,62.13799791,66.39362476,16.87175375,16.89325782,7.301822379,97.55635408,130.3511627,102.5493959,5.710819223,6.527778077,5.371633163,6.712267453,18.57263642,10.2662172,51.04832162
PI401125,32.58777778,51.95611111,Agronomic/Forage,Iran,32 35 16N,51 57 22E,NA,-46.03706933,-4.5304321,-7.053144381,6.016144604,11.37142885,1,1,1,5,8.933092808,1.459866491,68.84852147,62.84251979,17.48486865,102.2090788,5.809068021,8.219593276,9.874393117,8.159622228,0.62891755,2.398870477,68.31526021,67.35504709,60.9318229,65.33537552,20.40129762,15.27698,19.09118535,100.0792427,117.5423118,94.96656616,5.487298454,6.341532073,5.861464152,5.276415211,12.81804898,7.719657978,52.05742793
PI401126,34.31416667,47.065,Agronomic/Forage,Iran,34 18 51N,47 03 54E,NA,11.43563612,-4.725599378,-5.962497575,3.82168303,-10.39762104,1,1,1,4,8.978335647,1.48174417,69.6156632,62.78611446,16.4979337,102.2090788,5.801421213,9.19919992,9.674543787,8.948347703,0.667877915,2.571373136,69.39793394,70.05364611,60.05915096,64.13782706,5.899970714,23.5199969,9.932924845,102.6021313,114.9805417,94.96656616,5.452809594,6.289797073,5.660375641,12.47234264,21.89706007,4.183064305,43.9845775
PI401127,35.31722222,46.99888889,Agronomic/Forage,Iran,35 19 02N,46 59 56E,NA,-43.66821106,10.02575312,-3.95995025,2.751662143,-0.652645299,1,1,1,5,8.680818949,1.397196584,68.73326433,62.79057358,16.89201539,101.5774836,5.781936667,8.218738053,7.908081372,7.808313283,0.835430436,1.55880651,66.23392008,68.8447826,61.04175789,63.46288962,11.62785999,16.78550597,18.83819473,95.03346548,114.9805417,92.43895623,5.309497841,6.294970573,4.923051099,9.594339102,14.49036543,1.546501956,50.03921532
PI401129,35.86638889,47.60861111,Agronomic/Forage,Iran,35 51 59N,47 36 31E,NA,7.861809742,-14.09684382,21.12300245,22.54545104,-2.941696655,1,1,1,5,8.531901995,1.442162865,69.25766994,62.86905958,16.66429691,103.1564716,5.810508623,8.991003884,7.947832251,6.024066555,0.782104513,2.058422033,68.95477215,68.73300485,61.39959288,65.85069412,11.98081438,23.03511355,9.679934223,105.1250199,127.7893925,94.96656616,5.568578733,6.636421579,5.546941096,10.62068836,19.2142805,5.109567138,47.01189641
PI401130,36.08833333,52.15194444,Agronomic/Forage,Iran,36 05 18N,52 09 07E,NA,-4.317396526,-8.537282861,10.9534723,5.610770292,8.317881012,1,1,1,4,8.778919669,1.383623102,70.17507681,62.82230652,17.24537164,101.1037872,5.80390586,6.623748271,9.172745588,7.308051347,0.479655112,1.812366041,70.47549266,71.97529987,61.21738688,64.5469809,15.10698181,29.98510819,7.504214877,87.4647997,112.4187715,94.96656616,5.533018611,7.029607586,4.907582752,1.113998783,4.067438398,1.382378596,50.03921532
PI401131,36.08833333,52.15194444,Agronomic/Forage,Iran,36 05 18N,52 09 07E,NA,8.586257599,-12.27380115,19.71437408,23.99858355,-17.26004245,1,1,1,5,8.985240793,1.384046838,69.29847998,62.8210867,16.94305573,102.6827752,5.817951738,8.401755648,9.958836845,8.903386661,0.514543043,1.778590642,70.45561104,67.95715234,59.92537243,65.22584775,14.90529359,27.12968403,6.49225239,95.03346548,127.7893925,97.49417608,6.127380658,6.595033578,5.340696469,4.555897299,19.58309953,3.621868303,46.0027901
PI401132,35.83833333,51.05361111,Agronomic/Forage,Iran,35 50 18N,51 03 13E,NA,-40.06328213,-18.32516066,-4.754866427,-0.302514429,-1.543537197,1,1,1,5,9.113638819,1.31225877,68.46810084,62.88567215,17.85785581,100.3142932,5.818431939,8.322219964,11.37315473,9.198103475,0.177197855,1.440364176,69.25734604,64.99107632,59.97848291,67.24368628,23.98126355,25.24402657,10.94488733,82.41902251,107.2952311,92.43895623,5.563498716,6.620901079,5.907869193,1.57533759,16.30414672,9.117353682,51.04832162
PI401133,35.83833333,51.05361111,Agronomic/Forage,Iran,35 50 18N,51 03 13E,NA,3.784920174,-1.864520565,11.79805309,21.72854991,-14.23349847,1,1,1,4,8.772611106,1.438433766,69.10838109,62.8343382,16.51117587,102.05118,5.769091292,8.672433538,8.716000136,7.814691623,0.67516095,2.138087475,68.58573237,68.36425459,60.46346459,65.4495761,11.77912616,27.61456738,3.608159303,95.03346548,114.9805417,100.021786,5.009776809,6.413961075,4.556966885,8.547255517,13.66683799,9.096176474,50.03921532
PI401134,35.70111111,51.42944444,Agronomic/Forage,Iran,35 42 04N,51 25 46E,NA,-17.20946607,-15.50886571,-1.641187216,5.656215007,2.575933994,1,1,1,5,8.638613805,1.343571277,68.28030236,62.75030516,18.5445701,100.1563944,5.824095331,7.155268995,8.167104764,6.977190609,0.405557115,1.499577543,66.26568156,66.58857108,57.87558002,64.75024801,19.05715669,38.17424916,13.67718605,79.89613392,102.1716908,97.49417608,5.319490203,7.728030099,5.232418039,0.061731616,9.018707663,3.849523285,47.01189641
PI401135,35.70111111,51.42944444,Agronomic/Forage,Iran,35 42 04N,51 25 46E,NA,-39.59927439,1.603236625,-3.854886867,0.192365157,-11.00752625,1,1,1,5,8.647334409,1.349170808,69.37960137,62.89610252,17.08574633,103.0444381,5.795482042,8.689486911,7.999008532,7.299421828,0.610289293,1.331947114,68.30755181,69.97119636,61.0833197,67.04371137,12.8834002,21.66842053,14.55789011,95.77606319,135.9514897,100.0333524,4.77588517,6.258391866,5.947624376,6.804831578,16.93390772,10.14531943,51.39432781
PI401136,35.70111111,51.42944444,Agronomic/Forage,Iran,35 42 04N,51 25 46E,NA,-38.31708202,-13.94087719,-3.770379147,1.298202308,-0.596786331,1,1,1,5,9.206029611,1.378236763,70.57121594,62.81338937,17.38278796,101.1037872,5.797543198,7.944639273,11.83792925,10.88836349,0.623607879,1.602931081,72.61928355,73.10696588,61.43899374,64.39971667,18.7373698,22.76573391,12.41223294,82.41902251,122.6658522,89.9113463,5.385698104,6.517431077,5.294291427,1.425013709,14.40952838,6.581383068,51.04832162
PI401137,34.08166667,49.70166667,Agronomic/Forage,Iran,34 04 54N,49 42 06E,NA,-2.733969453,-16.32653207,11.26452178,23.95027175,-2.304997,1,1,1,5,8.718260558,1.308480769,69.33728779,62.88105146,18.82369623,100.9458884,5.851685855,8.31024685,7.863569908,8.302259412,0.368277031,1.19548009,68.79335962,69.2835041,62.06777568,65.69872168,17.62808458,41.29905295,14.68914853,89.9876883,114.9805417,87.38373637,5.832739643,8.193645107,5.495379939,10.24228686,11.90357986,4.728377401,51.04832162
PI401138,34.08166667,49.70166667,Agronomic/Forage,Iran,34 04 54N,49 42 06E,NA,-28.66813774,7.148125572,-2.86846606,12.53511119,-1.295120684,1,1,1,5,8.766707762,1.353746018,69.17063143,62.79207992,18.21906442,101.5774836,5.793941691,7.542257132,8.559424518,7.95170086,0.473956712,1.525129544,70.35695203,66.92048508,60.72914079,63.77784391,16.41795525,32.40952492,16.46008288,100.0792427,107.2952311,94.96656616,4.913256477,7.070995587,5.067422338,7.904491336,7.831413503,1.874748674,47.01189641
PI401139,34.08166667,49.70166667,Agronomic/Forage,Iran,34 04 54N,49 42 06E,NA,-22.98058027,-16.9681258,-6.86426557,2.991531237,9.742147993,1,1,1,5,9.380952426,1.266845077,68.93592853,62.61418442,17.5072666,100.6300908,5.805420085,7.325496093,12.63509013,11.08133953,0.509094003,0.633437839,69.85512485,66.66153858,53.91805636,62.00408876,23.40914898,27.02193218,9.426943602,72.32746813,114.9805417,100.021786,4.786140507,7.003740086,5.516004402,1.362609117,6.588543871,5.633703027,51.04832162
PI401140,34.08166667,49.70166667,Agronomic/Forage,Iran,34 04 54N,49 42 06E,NA,-44.05052405,-29.67727714,-10.82772886,3.098993667,20.34355526,1,1,1,5,9.015599833,1.292054177,68.55712043,62.83812783,18.30151421,102.05118,5.83920063,7.794547741,9.462126515,9.660783233,0.344758916,1.059722524,65.77141591,68.43644659,61.62190024,64.60358559,20.45171968,33.75642311,12.20984044,95.03346548,120.104082,94.96656616,5.395858139,8.085001605,5.510848286,4.001254014,11.16088947,5.496051178,51.04832162
PI401141,33.48777778,48.35555556,Agronomic/Forage,Iran,33 29 16N,48 21 20E,NA,-39.21366227,-25.14521976,-6.332787771,8.440608976,21.89700217,1,1,1,5,8.742976105,1.378800018,69.37299167,62.79105813,17.7989631,100.9458884,5.834518671,8.435964544,8.585131673,7.641913657,0.724231006,1.499045635,70.12477209,68.14376584,59.08868899,65.12470979,13.29178782,27.39906367,18.88879285,79.89613392,127.7893925,84.85612645,5.771779433,7.696989098,5.31491589,3.405142072,15.21789888,9.795024326,52.05742793
PI401142,33.48777778,48.35555556,Agronomic/Forage,Iran,33 29 16N,48 21 20E,NA,-42.18748912,-25.27681714,-9.030060308,9.298848536,26.35234831,1,1,1,5,8.919687516,1.216983853,69.68233903,62.83486532,15.62778524,101.261686,5.790220133,9.13553647,NA,8.749330989,0.072262157,0.618743887,NA,70.73726831,NA,65.21007991,5.072992794,17.53976895,8.414981115,89.9876883,109.8570013,97.49417608,4.979296704,6.424308075,5.485067708,8.816801786,17.81478908,10.20797987,54.07564053
PI401143,33.48777778,48.35555556,Agronomic/Forage,Iran,33 29 16N,48 21 20E,NA,-41.15570481,-25.23364213,-7.923060513,6.849044376,26.43187228,1,1,1,5,8.946786233,1.45535947,69.48761093,62.88038232,17.00194844,102.05118,5.786618626,7.529428796,10.09333253,8.393994945,0.763226212,2.208558566,70.59790432,68.7257786,61.65064579,66.14734658,17.17428608,23.95100431,7.959597996,95.03346548,122.6658522,92.43895623,5.116457176,6.67780958,4.938519446,3.49844655,10.48387918,3.436567736,51.04832162
PI401145,35.7625,51.9625,Agronomic/Forage,Iran,35 45 45N,51 57 45E,NA,-44.94553236,-14.67025066,-6.140731219,-0.599007988,-5.839450611,1,1,1,5,8.604451832,1.318682551,68.20722244,62.89950678,17.70866095,101.7353824,5.823353999,7.140302603,8.026429498,6.764641819,0.588049066,1.056695627,66.4397273,66.05770608,61.60412406,66.72164167,14.24980687,22.65798206,21.21630657,92.51057689,112.4187715,100.021786,4.679575672,7.402099593,6.237860597,2.347691323,5.603342333,4.908383666,50.03921532
PI401147,35.7625,51.9625,Agronomic/Forage,Iran,35 45 45N,51 57 45E,NA,-10.05908961,-2.134865534,8.552806084,12.85947238,-5.897139545,1,1,1,5,8.847623358,1.355796132,69.05855355,62.87598382,18.53795305,101.7353824,5.816137529,7.671621227,9.626271462,7.491459879,0.476019914,1.543020885,67.90921296,68.7877481,61.27083112,66.19641105,13.08581844,42.9692067,12.15924232,97.55635408,114.9805417,92.43895623,5.504014151,7.091689587,5.448974898,5.499116016,7.770785716,5.686646046,49.03010901
PI401149,37.15,54.88333333,Agronomic/Forage,Iran,37 09 00N,54 53 00E,NA,-43.3351138,10.91835498,-5.023933216,7.785545394,1.536186824,1,1,1,5,8.833547808,1.317792304,68.71059327,62.86271495,18.75695116,102.5248764,5.833558269,7.969868334,9.612703797,7.345570992,0.49661607,1.14737624,68.26968785,66.72259158,61.86122735,65.24443278,24.48548411,23.5199969,23.64501654,82.41902251,125.2276224,110.1322257,5.558418698,7.691815598,5.495379939,0.911839081,10.49903613,11.51567245,51.04832162
PI401150,37.47777778,57.32333333,Agronomic/Forage,Iran,37 28 40N,57 19 24E,NA,-43.91556426,19.68374637,-4.489046513,7.04984471,4.326075864,1,2,3,1,8.957700827,1.365024501,69.18188443,62.90132204,20.96346465,101.1037872,5.851445754,9.090637294,9.910478346,8.39843477,0.599777892,1.499081665,70.91110055,66.42839508,61.17917661,67.14180492,27.86376182,33.70254718,39.12804259,84.94191111,114.9805417,94.96656616,6.65062246,7.453834594,5.392257625,4.353737597,20.55314412,11.34096048,53.06653423
PI401151,37.33916667,56.25694444,Agronomic/Forage,Iran,37 20 21N,56 15 25E,NA,-45.28536945,-3.242437062,-4.397524605,6.982507672,-0.424163775,1,1,1,5,8.804246147,1.375439513,69.28021183,62.93037861,15.99684621,101.5774836,5.777854959,9.230466157,8.280121036,8.755184063,0.668595936,1.526538431,68.29481153,69.49560335,64.07076917,65.70158909,9.45971161,13.06806697,12.96881231,95.03346548,112.4187715,94.96656616,4.730375847,6.610554078,5.021017296,13.25913165,16.1677342,8.572040585,51.04832162
PI401152,37.33916667,56.25694444,Agronomic/Forage,Iran,37 20 21N,56 15 25E,NA,-46.95997704,12.04285349,-6.130535737,1.483292716,7.406689445,1,2,3,1,8.714572312,1.376459446,68.67804712,62.91874627,16.52688059,101.1037872,5.760687775,8.465042105,8.605745003,7.284476503,0.585784667,1.626604318,68.79410905,66.04473408,61.32563051,67.61545765,14.75402742,19.10217085,8.819766109,92.51057689,112.4187715,89.9113463,4.598295392,6.388093574,4.639464736,4.944665956,11.29730199,12.69100747,53.06653423
PI401153,36.41805556,54.97638889,Agronomic/Forage,Iran,36 25 05N,54 58 35E,NA,-40.6051457,-18.49401558,-4.102487645,4.779496814,-0.848342057,1,1,1,5,9.135699007,1.39750478,68.32574496,62.85009801,17.42597595,99.84059683,5.797062997,7.426374497,10.52102328,9.666723843,0.463675201,1.966079208,68.62306102,64.48326482,60.40185729,66.04146501,17.32555225,30.36223968,7.251224255,82.41902251,104.733461,87.38373637,4.583055339,7.402099593,5.206637461,0.585273409,9.589619323,6.073130085,51.04832162
PI401154,36.41805556,54.97638889,Agronomic/Forage,Iran,36 25 05N,54 58 35E,NA,-31.73655733,-11.56618183,-0.429308241,8.823473628,1.864738207,1,1,1,5,9.021417154,1.32227512,69.34844032,62.84282767,17.22574074,99.84059683,5.788179279,8.25679545,10.2319606,8.717226688,0.656168217,1.017906849,69.7563033,68.38713184,59.95089694,66.17223282,16.21626703,23.25061726,12.46283106,84.94191111,107.2952311,82.32851652,5.228217561,6.610554078,4.959143908,4.923931628,18.42611927,2.663599658,50.03921532
PI401155,36.41805556,54.97638889,Agronomic/Forage,Iran,36 25 05N,54 58 35E,NA,-46.0550992,-25.76607947,-12.1316999,2.941311082,15.9235867,1,1,1,5,9.273599613,1.363872501,69.2965459,62.79375261,16.81349177,99.84059683,5.77809506,7.951053441,10.98118136,10.66618466,0.505168453,1.590645572,69.25468612,68.6277131,59.9380796,64.50152723,16.11542292,21.3649598,9.022158607,87.4647997,102.1716908,84.85612645,4.989456739,6.382920074,4.995236718,7.0751182,9.235957233,6.311373671,51.04832162
PI401156,36.41805556,54.97638889,Agronomic/Forage,Iran,36 25 05N,54 58 35E,NA,-37.60901506,-13.97850471,-3.260433002,0.355887207,2.216259485,1,1,1,5,9.186495721,1.416930808,69.75834235,62.80087831,18.62722624,103.2682108,5.837493437,8.658160465,10.33326584,10.50416232,0.588851118,2.020752787,69.31339132,70.83795861,59.50439115,65.11100997,23.37619889,30.66789723,17.1178585,100.0792427,130.7516642,102.5493959,6.14262071,7.674097084,5.418038204,3.405142072,20.17448566,10.05973942,48.02100271
PI401157,36.41805556,54.97638889,Agronomic/Forage,Iran,36 25 05N,54 58 35E,NA,-36.35778261,-9.023927824,-5.215161683,3.04122808,-3.442534037,1,1,1,5,8.95645349,1.380140135,68.08150174,62.85950803,16.38161191,101.5774836,5.759487273,7.754779899,9.922332201,8.368356521,0.542995423,1.709282543,66.8313213,65.05339832,60.57276921,66.21991669,11.37574971,19.10217085,10.33770984,92.51057689,109.8570013,100.021786,4.303654377,6.367399574,4.907582752,7.774901784,7.376705101,5.11486144,50.03921532
PI401158,35.82694444,50.98027778,Agronomic/Forage,Iran,35 49 37N,50 58 49E,NA,-28.51294912,-16.86660182,1.798607252,8.418445195,-13.49497631,1,1,1,5,9.037815141,1.343209604,68.76777068,62.87543831,16.7467467,101.7353824,5.812189327,7.756917955,10.14828014,9.30678538,0.286555091,1.625427955,65.61361678,68.93237885,60.44564106,66.65374436,13.29178782,27.77619516,4.97430866,89.9876883,112.4187715,102.5493959,5.421258226,6.71919758,5.686156219,4.612916702,11.51960387,4.02952955,51.04832162
PI401159,35.82694444,50.98027778,Agronomic/Forage,Iran,35 49 37N,50 58 49E,NA,-9.062092365,-18.13941332,15.61710076,19.99430024,-13.81643011,1,1,1,5,8.854628874,1.420274332,69.47666568,62.86945012,15.28228135,102.9985728,5.793221389,8.831077294,8.639497546,8.869118719,0.534444406,2.112752397,67.95160917,70.79953611,62.6200981,64.83595155,9.3588675,10.15876689,6.593448639,95.03346548,117.5423118,112.6598356,4.628775497,6.289797073,6.103801589,8.858270443,17.5621733,6.660797597,44.9936838
PI401160,35.82694444,50.98027778,Agronomic/Forage,Iran,35 49 37N,50 58 49E,NA,-40.52374142,-12.21304907,-2.98611852,7.874032761,-11.81864501,1,1,1,5,8.867596875,1.3079587,69.40260974,62.79969844,16.82527032,101.261686,5.792501088,7.450748335,9.312406139,8.136047384,0.591729695,0.947370756,67.90832078,70.47854961,60.43060176,64.2903659,15.51035825,17.48589302,13.42419542,87.4647997,114.9805417,94.96656616,5.187577421,6.610554078,5.186012998,3.140779385,8.473057581,4.934855176,51.04832162
PI401161,35.82694444,50.98027778,Agronomic/Forage,Iran,35 49 37N,50 58 49E,NA,-34.97755404,11.6214039,4.99330926,16.58837441,-8.041268653,1,1,1,5,9.235783235,1.584926361,69.31926218,62.86357852,15.59637579,102.3669776,5.781456466,8.619837361,11.95450401,10.05498964,0.934179601,3.295184431,70.47436668,67.98373084,60.80506127,66.08532568,8.04789406,15.8696152,6.593448639,92.51057689,117.5423118,105.0770059,5.304417824,6.13976557,5.062266222,9.666909251,15.78375822,5.083095629,51.04832162
PI401162,35.82694444,50.98027778,Agronomic/Forage,Iran,35 49 37N,50 58 49E,NA,-18.94305603,-18.25703306,0.846630841,7.026456068,-5.338138076,1,1,1,5,8.543536636,1.420390062,67.75587522,62.92430364,18.13899468,101.7353824,5.854994457,7.328760674,8.445551341,5.505607591,0.624346737,2.016129424,64.99511551,65.26771832,62.30029489,66.98484108,28.16597776,32.60372103,11.55206482,84.94191111,117.5423118,102.5493959,5.38102223,7.210687826,7.073151336,0.232789826,8.695322401,5.575465706,51.04832162
PI401164,35.7625,51.9625,Agronomic/Forage,Iran,35 45 45N,51 57 45E,NA,-46.26524547,-18.97289204,-6.735558338,2.114286705,-10.8439263,1,1,1,5,9.284040681,1.403436938,69.70577332,62.70814504,18.23084296,103.4722692,5.839440731,7.6021227,11.1558472,10.55819061,0.620421871,1.853894961,69.38883374,70.50523386,57.50971842,63.61387085,19.79623296,34.61843795,11.14727983,97.55635408,130.3511627,105.0770059,5.660019048,7.691815598,5.644907294,1.777497292,13.46474537,2.970669168,50.03921532
