"PI_Accession","Latitude","Longitude","Cultivar_Name","ID","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"PI401225",36.98916667,55.06194444,NA,217,16.1749992370605,25.0499992370605,7.41666650772095,379,65,5,60.7987976074219,166,19,29,137,9.36666679382324,32.6364707946777,730.16650390625,31.2999992370605,2.59999990463257,28.6999988555908,10.3833332061768,24.7666664123535
"PI401226",36.98916667,55.06194444,NA,218,16.1749992370605,25.0499992370605,7.41666650772095,379,65,5,60.7987976074219,166,19,29,137,9.36666679382324,32.6364707946777,730.16650390625,31.2999992370605,2.59999990463257,28.6999988555908,10.3833332061768,24.7666664123535
"PI401227",36.98916667,55.06194444,NA,219,16.1749992370605,25.0499992370605,7.41666650772095,379,65,5,60.7987976074219,166,19,29,137,9.36666679382324,32.6364707946777,730.16650390625,31.2999992370605,2.59999990463257,28.6999988555908,10.3833332061768,24.7666664123535
"PI401228",36.98916667,55.06194444,NA,220,16.1749992370605,25.0499992370605,7.41666650772095,379,65,5,60.7987976074219,166,19,29,137,9.36666679382324,32.6364707946777,730.16650390625,31.2999992370605,2.59999990463257,28.6999988555908,10.3833332061768,24.7666664123535
"PI401230",36.98916667,55.06194444,NA,221,16.1749992370605,25.0499992370605,7.41666650772095,379,65,5,60.7987976074219,166,19,29,137,9.36666679382324,32.6364707946777,730.16650390625,31.2999992370605,2.59999990463257,28.6999988555908,10.3833332061768,24.7666664123535
"PI401231",36.98916667,55.06194444,NA,222,16.1749992370605,25.0499992370605,7.41666650772095,379,65,5,60.7987976074219,166,19,29,137,9.36666679382324,32.6364707946777,730.16650390625,31.2999992370605,2.59999990463257,28.6999988555908,10.3833332061768,24.7666664123535
"PI401232",36.21694444,51.29944444,NA,223,9.05416679382324,20.3666667938232,-2.86666655540466,273,50,4,60.2220344543457,120,16,21,85,10.6416664123535,29.3968696594238,943.806274414062,28,-8.19999980926514,36.2000007629395,8.10000038146973,19.9333343505859
"PI401233",36.21694444,51.29944444,NA,224,9.05416679382324,20.3666667938232,-2.86666655540466,273,50,4,60.2220344543457,120,16,21,85,10.6416664123535,29.3968696594238,943.806274414062,28,-8.19999980926514,36.2000007629395,8.10000038146973,19.9333343505859
"PI401234",36.21694444,51.29944444,NA,225,9.05416679382324,20.3666667938232,-2.86666655540466,273,50,4,60.2220344543457,120,16,21,85,10.6416664123535,29.3968696594238,943.806274414062,28,-8.19999980926514,36.2000007629395,8.10000038146973,19.9333343505859
"PI401235",36.21694444,51.29944444,NA,226,9.05416679382324,20.3666667938232,-2.86666655540466,273,50,4,60.2220344543457,120,16,21,85,10.6416664123535,29.3968696594238,943.806274414062,28,-8.19999980926514,36.2000007629395,8.10000038146973,19.9333343505859
"PI401236",36.21694444,51.29944444,NA,227,9.05416679382324,20.3666667938232,-2.86666655540466,273,50,4,60.2220344543457,120,16,21,85,10.6416664123535,29.3968696594238,943.806274414062,28,-8.19999980926514,36.2000007629395,8.10000038146973,19.9333343505859
"PI401237",36.21694444,51.29944444,NA,228,9.05416679382324,20.3666667938232,-2.86666655540466,273,50,4,60.2220344543457,120,16,21,85,10.6416664123535,29.3968696594238,943.806274414062,28,-8.19999980926514,36.2000007629395,8.10000038146973,19.9333343505859
"PI401238",36.21694444,51.29944444,NA,229,9.05416679382324,20.3666667938232,-2.86666655540466,273,50,4,60.2220344543457,120,16,21,85,10.6416664123535,29.3968696594238,943.806274414062,28,-8.19999980926514,36.2000007629395,8.10000038146973,19.9333343505859
"PI401239",36.21694444,51.29944444,NA,230,9.05416679382324,20.3666667938232,-2.86666655540466,273,50,4,60.2220344543457,120,16,21,85,10.6416664123535,29.3968696594238,943.806274414062,28,-8.19999980926514,36.2000007629395,8.10000038146973,19.9333343505859
"PI401240",36.21694444,51.29944444,NA,231,9.05416679382324,20.3666667938232,-2.86666655540466,273,50,4,60.2220344543457,120,16,21,85,10.6416664123535,29.3968696594238,943.806274414062,28,-8.19999980926514,36.2000007629395,8.10000038146973,19.9333343505859
"PI401241",36.21694444,51.29944444,NA,232,9.05416679382324,20.3666667938232,-2.86666655540466,273,50,4,60.2220344543457,120,16,21,85,10.6416664123535,29.3968696594238,943.806274414062,28,-8.19999980926514,36.2000007629395,8.10000038146973,19.9333343505859
"PI401242",35.9775,52.04694444,NA,233,2.94583344459534,14.966667175293,-9.35000038146973,246,46,2,73.098762512207,133,16,25,61,11.0583333969116,28.872932434082,991.088623046875,23,-15.3000001907349,38.2999992370605,1.63333320617676,14.4500007629395
"PI401243",36.33805556,53.34805556,NA,234,16.5499992370605,26.5166664123535,6.31666660308838,454,61,13,44.3151588439941,174,50,50,152,9.44999980926514,30.3858528137207,827.125366210938,32,0.899999976158142,31.1000003814697,12.3500003814697,26.5166664123535
"PI401244",38.39305556,47.63583333,NA,235,9.7291669845581,19.7333335876465,-0.916666686534882,361,61,11,47.2317695617676,146,44,56,67,11.7750005722046,32.8910598754883,836.710205078125,28.7000007629395,-7.09999990463257,35.7999992370605,9.06666660308838,19.4166679382324
"PI440001",43.88444444,41.73027778,NA,236,7.34999990463257,16.8833332061768,-2.86666679382324,710,112,22,51.7828407287598,297,75,294,75,12.8166666030884,37.3663749694824,800.871704101562,24.6000003814697,-9.69999980926514,34.2999992370605,15.1499996185303,-2.86666679382324
"PI440002",43.88444444,41.73027778,NA,237,7.34999990463257,16.8833332061768,-2.86666679382324,710,112,22,51.7828407287598,297,75,294,75,12.8166666030884,37.3663749694824,800.871704101562,24.6000003814697,-9.69999980926514,34.2999992370605,15.1499996185303,-2.86666679382324
"PI440003",44.80916667,42.03333333,NA,238,8.6666669845581,19.3500003814697,-2.21666669845581,546,90,20,45.467472076416,220,69,211,70,9.11666679382324,27.7947158813477,879.608215332031,25.7999992370605,-7,32.7999992370605,17.3999996185303,-1.33333337306976
"PI440004",45.05,41.96666667,NA,239,9.22083377838135,20.3999996185303,-2.03333330154419,552,86,23,39.6390991210938,213,75,200,81,9.02499961853027,26.8601188659668,914.828491210938,27,-6.59999990463257,33.5999984741211,18.3999996185303,-1.16666662693024
"PI440005",45.05,41.96666667,NA,240,9.22083377838135,20.3999996185303,-2.03333330154419,552,86,23,39.6390991210938,213,75,200,81,9.02499961853027,26.8601188659668,914.828491210938,27,-6.59999990463257,33.5999984741211,18.3999996185303,-1.16666662693024
"PI440006",45.04972222,41.96666667,NA,241,9.22083377838135,20.3999996185303,-2.03333330154419,552,86,23,39.6390991210938,213,75,200,81,9.02499961853027,26.8601188659668,914.828491210938,27,-6.59999990463257,33.5999984741211,18.3999996185303,-1.16666662693024
"PI440007",45.04972222,41.96666667,NA,242,9.22083377838135,20.3999996185303,-2.03333330154419,552,86,23,39.6390991210938,213,75,200,81,9.02499961853027,26.8601188659668,914.828491210938,27,-6.59999990463257,33.5999984741211,18.3999996185303,-1.16666662693024
"PI440008",45.05444444,41.99361111,NA,243,9.46666622161865,20.7333335876465,-1.88333332538605,553,86,24,38.4915542602539,211,77,198,84,9.14999961853027,26.9911499023438,921.901062011719,27.5,-6.40000009536743,33.9000015258789,18.716667175293,-0.98333340883255
"PI440009",45.05444444,41.99361111,NA,244,9.46666622161865,20.7333335876465,-1.88333332538605,553,86,24,38.4915542602539,211,77,198,84,9.14999961853027,26.9911499023438,921.901062011719,27.5,-6.40000009536743,33.9000015258789,18.716667175293,-0.98333340883255
"PI440010",45.05194444,41.97972222,NA,245,9.5,20.7333335876465,-1.83333337306976,548,84,23,38.0191345214844,208,76,194,83,9.05000019073486,26.7751483917236,920.007385253906,27.3999996185303,-6.40000009536743,33.7999992370605,18.716667175293,-0.933333337306976
"PI440011",45.335,42.85444444,NA,246,10.6041669845581,22.466667175293,-1.20000004768372,456,71,21,38.1573066711426,173,69,167,74,9.97500038146973,28.0985908508301,964.01025390625,30.2000007629395,-5.30000019073486,35.5,20.466667175293,-0.116666734218597
"PI440012",44.80916667,42.03333333,NA,247,8.6666669845581,19.3500003814697,-2.21666669845581,546,90,20,45.467472076416,220,69,211,70,9.11666679382324,27.7947158813477,879.608215332031,25.7999992370605,-7,32.7999992370605,17.3999996185303,-1.33333337306976
"PI440013",44.80916667,42.03333333,NA,248,8.6666669845581,19.3500003814697,-2.21666669845581,546,90,20,45.467472076416,220,69,211,70,9.11666679382324,27.7947158813477,879.608215332031,25.7999992370605,-7,32.7999992370605,17.3999996185303,-1.33333337306976
"PI440014",45.02611111,43.7,NA,249,9.91250038146973,22.533332824707,-2.5,430,65,19,37.5627555847168,162,63,160,68,10.0416669845581,27.0664863586426,1018.28314208984,30.6000003814697,-6.5,37.0999984741211,20.1166667938232,-1.33333337306976
"PI440015",45.08138889,43.04305556,NA,250,9.72500038146973,21.5666656494141,-2.11666655540466,457,70,20,38.9942359924316,174,65,167,69,9.88333320617676,27.8403759002686,964.806884765625,29.2999992370605,-6.19999980926514,35.5,19.4500007629395,-1.04999995231628
"PI440016",45.08138889,43.04305556,NA,251,9.72500038146973,21.5666656494141,-2.11666655540466,457,70,20,38.9942359924316,174,65,167,69,9.88333320617676,27.8403759002686,964.806884765625,29.2999992370605,-6.19999980926514,35.5,19.4500007629395,-1.04999995231628
"PI440017",45.08138889,43.04305556,NA,252,9.72500038146973,21.5666656494141,-2.11666655540466,457,70,20,38.9942359924316,174,65,167,69,9.88333320617676,27.8403759002686,964.806884765625,29.2999992370605,-6.19999980926514,35.5,19.4500007629395,-1.04999995231628
"PI440018",45.08138889,43.04305556,NA,253,9.72500038146973,21.5666656494141,-2.11666655540466,457,70,20,38.9942359924316,174,65,167,69,9.88333320617676,27.8403759002686,964.806884765625,29.2999992370605,-6.19999980926514,35.5,19.4500007629395,-1.04999995231628
"PI440019",44.78361111,45.51888889,NA,254,11.2083330154419,24.3166656494141,-1.76666676998138,291,41,15,33.3120880126953,107,49,105,50,10.3000001907349,27.034122467041,1057.93713378906,32.2999992370605,-5.80000019073486,38.0999984741211,22.1499996185303,-0.566666722297668
"PI440021",42.9,71.36666667,NA,255,10.8916664123535,24.2333335876465,-2.31666660308838,310,48,5,47.667797088623,122,24,37,83,12.8500003814697,30.235294342041,1074.47204589844,33.7000007629395,-8.80000019073486,42.5,11.0333337783813,22.533332824707
"PI440022",42.31666667,69.59583333,NA,256,13.5083332061768,26,0.800000011920929,474,71,3,61.1238632202148,187,18,24,168,12.7999992370605,31.6831684112549,1011.02294921875,34.7999992370605,-5.59999990463257,40.3999977111816,7.94999980926514,24.5833339691162
"PI440023",42.35,69.66666667,NA,257,13.0874996185303,25.5166664123535,0.316666722297668,492,75,4,60.2937202453613,194,21,26,168,12.8916664123535,31.752872467041,1010.88195800781,34.4000015258789,-6.19999980926514,40.6000022888184,13.4499998092651,24.283332824707
"PI440024",42.31666667,69.59583333,NA,258,13.5083332061768,26,0.800000011920929,474,71,3,61.1238632202148,187,18,24,168,12.7999992370605,31.6831684112549,1011.02294921875,34.7999992370605,-5.59999990463257,40.3999977111816,7.94999980926514,24.5833339691162
"PI440025",42.31666667,69.59583333,NA,259,13.5083332061768,26,0.800000011920929,474,71,3,61.1238632202148,187,18,24,168,12.7999992370605,31.6831684112549,1011.02294921875,34.7999992370605,-5.59999990463257,40.3999977111816,7.94999980926514,24.5833339691162
"PI440026",42.31666667,69.59583333,NA,260,13.5083332061768,26,0.800000011920929,474,71,3,61.1238632202148,187,18,24,168,12.7999992370605,31.6831684112549,1011.02294921875,34.7999992370605,-5.59999990463257,40.3999977111816,7.94999980926514,24.5833339691162
"PI440027",44.69944444,41.89944444,NA,261,10.3500003814697,21.3333339691162,-0.866666674613953,560,87,24,38.6351051330566,208,81,208,85,10.0833330154419,29.2270526885986,902.033081054688,28.5,-6,34.5,21.3333339691162,0.266666680574417
"PI440028",44.69944444,41.89944444,NA,262,10.3500003814697,21.3333339691162,-0.866666674613953,560,87,24,38.6351051330566,208,81,208,85,10.0833330154419,29.2270526885986,902.033081054688,28.5,-6,34.5,21.3333339691162,0.266666680574417
"PI440029",45.02194444,41.02555556,NA,263,10.7375001907349,21.6499996185303,-0.75,630,84,30,28.4199333190918,219,104,206,115,10.7250003814697,30.7306594848633,909.533142089844,29.2999992370605,-5.59999990463257,34.8999977111816,19.6499996185303,0.633333325386047
"PI440030",45.02194444,41.02555556,NA,264,10.7375001907349,21.6499996185303,-0.75,630,84,30,28.4199333190918,219,104,206,115,10.7250003814697,30.7306594848633,909.533142089844,29.2999992370605,-5.59999990463257,34.8999977111816,19.6499996185303,0.633333325386047
"PI440031",45.02194444,41.02555556,NA,265,10.7375001907349,21.6499996185303,-0.75,630,84,30,28.4199333190918,219,104,206,115,10.7250003814697,30.7306594848633,909.533142089844,29.2999992370605,-5.59999990463257,34.8999977111816,19.6499996185303,0.633333325386047
"PI440032",44.61972222,41.86277778,NA,266,10.0208330154419,20.8999996185303,-1.29999995231628,566,89,23,41.7749481201172,216,79,216,80,10.7250003814697,30.7306594848633,902.215576171875,28.2000007629395,-6.69999980926514,34.9000015258789,18.9333343505859,-0.0499999709427357
"PI440033",45.095,43.36638889,NA,267,9.64166641235352,21.9499988555908,-2.45000004768372,444,67,19,37.6366806030273,167,64,163,68,9.89999961853027,27.1232872009277,993.064208984375,29.8999996185303,-6.59999990463257,36.5,19.5666656494141,-1.33333325386047
"PI440034",45.095,43.36638889,NA,268,9.64166641235352,21.9499988555908,-2.45000004768372,444,67,19,37.6366806030273,167,64,163,68,9.89999961853027,27.1232872009277,993.064208984375,29.8999996185303,-6.59999990463257,36.5,19.5666656494141,-1.33333325386047
"PI440035",45.095,43.36638889,NA,269,9.64166641235352,21.9499988555908,-2.45000004768372,444,67,19,37.6366806030273,167,64,163,68,9.89999961853027,27.1232872009277,993.064208984375,29.8999996185303,-6.59999990463257,36.5,19.5666656494141,-1.33333325386047
"PI440036",43.10416667,72.9375,NA,270,10.0166664123535,24.0499992370605,-4.94999980926514,293,41,8,40.8346633911133,110,32,50,69,13.4666662216187,29.4032039642334,1154.33825683594,33.5999984741211,-12.1999998092651,45.7999992370605,10.9666662216187,22.1666660308838
"PI440037",42.98222222,72.36833333,NA,271,9.6458330154419,23.2000007629395,-4.38333320617676,275,42,7,44.1581153869629,109,30,47,61,13.091667175293,29.8896503448486,1103.04223632812,32.7000007629395,-11.1000003814697,43.8000030517578,10.0833330154419,21.4500007629395
"PI440038",42.98222222,72.36833333,NA,272,9.6458330154419,23.2000007629395,-4.38333320617676,275,42,7,44.1581153869629,109,30,47,61,13.091667175293,29.8896503448486,1103.04223632812,32.7000007629395,-11.1000003814697,43.8000030517578,10.0833330154419,21.4500007629395
"PI440039",43.01888889,71.19138889,NA,273,10.9916667938232,24.2000007629395,-2.31666660308838,297,46,4,49.209903717041,115,21,30,84,12.75,30.2132701873779,1071.83959960938,33.5,-8.69999980926514,42.2000007629395,11.2333335876465,22.6499996185303
"PI440040",43.01888889,71.19138889,NA,274,10.9916667938232,24.2000007629395,-2.31666660308838,297,46,4,49.209903717041,115,21,30,84,12.75,30.2132701873779,1071.83959960938,33.5,-8.69999980926514,42.2000007629395,11.2333335876465,22.6499996185303
"PI440041",42.57416667,70.56361111,NA,275,9.15416717529297,20.6833324432373,-2.70000004768372,588,88,9,52.1954383850098,229,40,52,178,12.4250001907349,32.4412536621094,953.83544921875,29.8999996185303,-8.39999961853027,38.2999992370605,8.10000038146973,20.2666664123535
"PI440042",42.57416667,70.56361111,NA,276,9.15416717529297,20.6833324432373,-2.70000004768372,588,88,9,52.1954383850098,229,40,52,178,12.4250001907349,32.4412536621094,953.83544921875,29.8999996185303,-8.39999961853027,38.2999992370605,8.10000038146973,20.2666664123535
"PI440043",42.57416667,70.56361111,NA,277,9.15416717529297,20.6833324432373,-2.70000004768372,588,88,9,52.1954383850098,229,40,52,178,12.4250001907349,32.4412536621094,953.83544921875,29.8999996185303,-8.39999961853027,38.2999992370605,8.10000038146973,20.2666664123535
"PI440044",42.57416667,70.56361111,NA,278,9.15416717529297,20.6833324432373,-2.70000004768372,588,88,9,52.1954383850098,229,40,52,178,12.4250001907349,32.4412536621094,953.83544921875,29.8999996185303,-8.39999961853027,38.2999992370605,8.10000038146973,20.2666664123535
"PI440045",42.57416667,70.56361111,NA,279,9.15416717529297,20.6833324432373,-2.70000004768372,588,88,9,52.1954383850098,229,40,52,178,12.4250001907349,32.4412536621094,953.83544921875,29.8999996185303,-8.39999961853027,38.2999992370605,8.10000038146973,20.2666664123535
"PI440046",42.45333333,69.1425,NA,280,13.7541666030884,27.4333343505859,-0.233333393931389,345,51,2,62.3457145690918,138,12,16,128,13.2749996185303,30.3775730133057,1110.78894042969,36.9000015258789,-6.80000019073486,43.7000007629395,7.8333330154419,25.716667175293
"PI440047",42.22777778,68.2925,NA,281,13.8500003814697,28.3500003814697,-0.666666686534882,292,43,2,63.4339065551758,117,10,14,116,13.1833333969116,29.4270839691162,1172.51086425781,38,-6.80000019073486,44.7999992370605,7.68333339691162,26.3333339691162
"PI440048",42.22777778,68.2925,NA,282,13.8500003814697,28.3500003814697,-0.666666686534882,292,43,2,63.4339065551758,117,10,14,116,13.1833333969116,29.4270839691162,1172.51086425781,38,-6.80000019073486,44.7999992370605,7.68333339691162,26.3333339691162
"PI440049",42.22777778,68.2925,NA,283,13.8500003814697,28.3500003814697,-0.666666686534882,292,43,2,63.4339065551758,117,10,14,116,13.1833333969116,29.4270839691162,1172.51086425781,38,-6.80000019073486,44.7999992370605,7.68333339691162,26.3333339691162
"PI440050",42.22777778,68.2925,NA,284,13.8500003814697,28.3500003814697,-0.666666686534882,292,43,2,63.4339065551758,117,10,14,116,13.1833333969116,29.4270839691162,1172.51086425781,38,-6.80000019073486,44.7999992370605,7.68333339691162,26.3333339691162
"PI440051",42.22777778,68.2925,NA,285,13.8500003814697,28.3500003814697,-0.666666686534882,292,43,2,63.4339065551758,117,10,14,116,13.1833333969116,29.4270839691162,1172.51086425781,38,-6.80000019073486,44.7999992370605,7.68333339691162,26.3333339691162
"PI440052",42.22777778,68.2925,NA,286,13.8500003814697,28.3500003814697,-0.666666686534882,292,43,2,63.4339065551758,117,10,14,116,13.1833333969116,29.4270839691162,1172.51086425781,38,-6.80000019073486,44.7999992370605,7.68333339691162,26.3333339691162
"PI440053",42.22777778,68.2925,NA,287,13.8500003814697,28.3500003814697,-0.666666686534882,292,43,2,63.4339065551758,117,10,14,116,13.1833333969116,29.4270839691162,1172.51086425781,38,-6.80000019073486,44.7999992370605,7.68333339691162,26.3333339691162
"PI440054",42.22777778,68.2925,NA,288,13.8500003814697,28.3500003814697,-0.666666686534882,292,43,2,63.4339065551758,117,10,14,116,13.1833333969116,29.4270839691162,1172.51086425781,38,-6.80000019073486,44.7999992370605,7.68333339691162,26.3333339691162
"PI440055",42.22777778,68.2925,NA,289,13.8500003814697,28.3500003814697,-0.666666686534882,292,43,2,63.4339065551758,117,10,14,116,13.1833333969116,29.4270839691162,1172.51086425781,38,-6.80000019073486,44.7999992370605,7.68333339691162,26.3333339691162
"PI440056",41.27083333,68.115,NA,290,14.5583333969116,28.0666656494141,1.03333330154419,329,49,2,65.5864791870117,135,10,13,132,12.8666667938232,30.7814998626709,1088.71447753906,37.2999992370605,-4.5,41.7999992370605,8.51666641235352,25.9833335876465
"PI440057",41.27083333,68.115,NA,291,14.5583333969116,28.0666656494141,1.03333330154419,329,49,2,65.5864791870117,135,10,13,132,12.8666667938232,30.7814998626709,1088.71447753906,37.2999992370605,-4.5,41.7999992370605,8.51666641235352,25.9833335876465
"PI442637",38.40722222,27.15027778,NA,292,17.2374992370605,26.3333339691162,8.98333358764648,692,138,4,81.5962066650391,359,19,19,359,9.79166603088379,34.4776992797852,712.326965332031,33,4.59999990463257,28.3999996185303,8.98333358764648,26.3333339691162
"PI486197",38.96972222,59.55638889,NA,293,16.4750003814697,30.6499996185303,2.38333344459534,121,21,1,68.5475006103516,58,3,4,44,12.8666667938232,29.7839508056641,1138.89001464844,39.5999984741211,-3.59999990463257,43.1999969482422,9.60000038146973,28.9333324432373
"PI494618",46,25,NA,294,7.04583358764648,16.7000007629395,-3.53333330154419,610,92,25,48.0017929077148,256,81,253,84,11.6916666030884,35.536979675293,820.718811035156,23.8999996185303,-9,32.9000015258789,15.2833337783813,-1.83333325386047
"PI494686",44.18333333,28.65,NA,295,11.9125003814697,21.8833332061768,2.23333334922791,417,47,25,18.8257064819336,119,82,115,82,7.625,26.2931022644043,803.851867675781,27.2000007629395,-1.79999995231628,29,15.5666666030884,2.9833333492279
"PI494687",43.8,28.58333333,NA,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI502351",46.30777778,44.25555556,NA,297,9.74583339691162,23.3666667938232,-3.90000009536743,350,49,17,27.8364524841309,122,61,115,65,9.55833339691162,24.5085468292236,1111.87487792969,31,-8,39,21.2333335876465,-2.78333330154419
"PI502356",45.05,41.96666667,NA,298,9.22083377838135,20.3999996185303,-2.03333330154419,552,86,23,39.6390991210938,213,75,200,81,9.02499961853027,26.8601188659668,914.828491210938,27,-6.59999990463257,33.5999984741211,18.3999996185303,-1.16666662693024
"PI531721",36.03972222,103.8697222,NA,299,9.47083377838135,21.033332824707,-3.56666660308838,356,78,4,84.3405914306641,196,14,190,14,11.9083337783813,30.0715503692627,996.447021484375,28.2999992370605,-11.3000001907349,39.5999984741211,19.6333332061768,-3.56666660308838
"PI531722",49.8075,-97.13666667,NA,300,2.87916684150696,19.1000003814697,-15.3666667938232,548,95,15,59.5624122619629,257,57,257,57,11.3916664123535,22.783332824707,1396.09753417969,26.7000007629395,-23.2999992370605,50,19.1000003814697,-15.3666667938232
"PI531723",49.8075,-97.13666667,NA,301,2.87916684150696,19.1000003814697,-15.3666667938232,548,95,15,59.5624122619629,257,57,257,57,11.3916664123535,22.783332824707,1396.09753417969,26.7000007629395,-23.2999992370605,50,19.1000003814697,-15.3666667938232
"PI531724",55.75222222,37.61555556,NA,302,5.40000009536743,17.4333324432373,-6.59999990463257,716,93,35,31.5843925476074,257,115,257,133,7.53333330154419,22.4206352233887,980.071899414062,23.2999992370605,-10.3000001907349,33.5999984741211,17.4333324432373,-0.566666603088379
"PI531725",52.67083333,13.41944444,NA,303,9.03333377838135,17.5166664123535,0.816666662693024,575,61,35,19.2060375213623,180,113,180,135,7.7000002861023,30.1960792541504,680.629150390625,23.1000003814697,-2.40000009536743,25.5,17.5166664123535,4.38333320617676
"PI531726",52.17,13.54472222,NA,304,8.83749961853027,17.3333339691162,0.649999976158142,560,76,31,26.3752784729004,189,105,189,122,8.25833320617676,31.7628211975098,680.130737304688,23.2999992370605,-2.70000004768372,26,17.3333339691162,4.21666669845581
"PI547314",42.31666667,69.59583333,NA,305,13.5083332061768,26,0.800000011920929,474,71,3,61.1238632202148,187,18,24,168,12.7999992370605,31.6831684112549,1011.02294921875,34.7999992370605,-5.59999990463257,40.3999977111816,7.94999980926514,24.5833339691162
"PI547315",60.09277778,23.90805556,NA,306,4.84583330154419,15.283332824707,-4.66666650772095,669,78,33,30.5496082305908,220,109,194,149,6.49166679382324,22.1558589935303,814.0986328125,20.5,-8.80000019073486,29.2999992370605,10.3333330154419,3.25
"PI547316",NA,NA,NA,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI547317",50.45,30.52333333,NA,308,8.19166660308838,19.2333335876465,-2.96666669845581,632,89,36,32.4141159057617,232,114,232,124,7.76666641235352,24.7346057891846,912.710327148438,24.7000007629395,-6.69999980926514,31.4000015258789,19.2333335876465,-1.88333332538605
"PI547318",52.68944444,39.24861111,NA,309,5.22083330154419,18.0166664123535,-7.84999990463257,565,78,29,30.222188949585,202,95,202,107,8.7083330154419,23.2843132019043,1067.38952636719,24.6000003814697,-12.8000001907349,37.4000015258789,18.0166664123535,-7.2000002861023
"PI547319",60,100,NA,310,-4.24166679382324,16.216667175293,-25.9500007629395,378,62,11,48.8182029724121,159,40,159,50,11.2833337783813,19.3207759857178,1692.84436035156,25.5,-32.9000015258789,58.4000015258789,16.216667175293,-22.4166660308838
"PI547333",35,105,NA,311,6.33333349227905,16.6666660308838,-4.84999990463257,560,105,3,82.3681106567383,295,13,278,13,10.0833330154419,29.4834308624268,865.963317871094,22.8999996185303,-11.3000001907349,34.2000007629395,15.4833335876465,-4.84999990463257
"PI547334",51.1,17.03333333,NA,312,9.15833377838135,18.2000007629395,0.399999976158142,571,89,24,43.834846496582,237,82,237,85,9.1666669845581,32.3910484313965,726.685607910156,24.7000007629395,-3.59999990463257,28.3000011444092,18.2000007629395,1.43333327770233
"PI547335",50.73611111,15.74027778,NA,313,2.52083325386047,10.4666662216187,-5.13333320617676,891,107,51,27.8760375976562,319,164,319,178,6.09166669845581,26.3708515167236,642.595764160156,15.3000001907349,-7.80000019073486,23.1000003814697,10.4666662216187,-4.63333320617676
"PI547336",43.66666667,6.716666667,NA,314,12.5375003814697,19.8166656494141,6.13333320617676,844,118,22,34.7386627197266,298,117,140,237,8.72500038146973,35.9053497314453,568.735107421875,25.8999996185303,1.60000002384186,24.2999992370605,9.63333320617676,19.7999992370605
"PI547337",43.56666667,5.016666667,NA,315,14.904167175293,23.0833339691162,7.38333320617676,662,104,22,35.3388786315918,231,101,101,163,9.875,35.7789840698242,640.452453613281,30.1000003814697,2.5,27.6000003814697,15.3833332061768,23.0833339691162
"PI547338",43,2.75,NA,316,13.4666662216187,20.7666664123535,7.0499997138977,645,80,19,29.5141754150391,209,98,98,190,8.19999980926514,34.4537811279297,567.01904296875,26.7999992370605,3,23.7999992370605,10.4833335876465,20.7666664123535
"PI565004",39.94027778,-1.067777778,NA,317,10.7624998092651,19.6833324432373,3.2333333492279,450,62,24,30.8225555419922,157,79,107,85,13.5249996185303,41.3608551025391,675.469970703125,29.8999996185303,-2.79999995231628,32.7000007629395,12.6166667938232,4.19999980926514
"PI574518",NA,NA,"breeding material",318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI578689",NA,NA,NA,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI578695",NA,NA,"breeding material",320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI578699",NA,NA,"cultivar",321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI598480",47.41166667,28.37,NA,322,9.39999961853027,19.716667175293,-1.36666667461395,579,85,26,36.3232078552246,221,104,215,108,9.14999961853027,28.955696105957,861.966552734375,25.7999992370605,-5.80000019073486,31.5999984741211,18.2333335876465,-0.266666680574417
"PI618797",48.13305556,60.26666667,NA,323,5.79583358764648,23.4500007629395,-12.5833339691162,175,18,10,16.2936153411865,52,37,45,41,11.875,23.0135650634766,1481.64135742188,32.4000015258789,-19.2000007629395,51.6000022888184,15.9666662216187,21.0166664123535
"PI619581",38.91666667,68.25,NA,324,-0.524999976158142,9.93333339691162,-10.0500001907349,527,75,14,43.5803413391113,217,69,105,129,6.03333330154419,20.521541595459,839.186584472656,15.3000001907349,-14.1000003814697,29.4000015258789,-2.46666646003723,6.23333358764648
