"PI_Accession","Latitude","Longitude","Cultivar_Name","ID","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"PI380654",35.30722222,59.14611111,NA,86,13.908332824707,24.9333324432373,2.31666660308838,267,57,1,91.0758514404297,154,3,7,133,12.9166669845581,34.909912109375,913.559020996094,32.5999984741211,-4.40000009536743,37,3.7333333492279,23.8666667938232
"PI383546",38.02944444,35.3975,NA,87,7.58750009536743,17.1000003814697,-2.46666669845581,466,60,7,49.5410079956055,177,30,49,149,12.4916667938232,36.2077293395996,800.006042480469,26.6000003814697,-7.90000009536743,34.5,6.58333349227905,17.0166664123535
"PI383547",37.96666667,34.68333333,NA,88,10.8625001907349,20.3166675567627,1.06666660308838,355,52,6,51.2927856445312,142,22,43,98,12.4250001907349,36.7603530883789,783.816772460938,29.1000003814697,-4.69999980926514,33.7999992370605,9.89999961853027,20.1000003814697
"PI383548",37.55527778,34.51,NA,89,9.92083358764648,19.5833339691162,0.0999999865889549,355,52,5,52.7869262695312,146,20,39,105,13.625,38.5977363586426,792.62353515625,29.2999992370605,-6,35.2999992370605,8.89999961853027,19.3333339691162
"PI383550",39.80555556,32.74666667,NA,90,10.5166664123535,20.5499992370605,0.0833333358168602,397,53,9,42.3969116210938,136,37,54,130,12.0166664123535,35.0340118408203,831.912719726562,29.1000003814697,-5.19999980926514,34.2999992370605,9.73333358764648,20.25
"PI383551",38.39472222,39.67305556,NA,91,14.0749998092651,26.216667175293,1.71666669845581,667,94,2,68.9988327026367,271,11,19,270,11.5333337783813,29.8791027069092,1000.8984375,35.5,-3.09999990463257,38.5999984741211,6.96666669845581,26.1499996185303
"PI383552",38.86694444,39.32611111,NA,92,12.9916667938232,24.783332824707,0.949999988079071,728,109,3,65.2299346923828,297,17,17,289,10.8000001907349,28.7999992370605,975.105651855469,33.5,-4,37.5,3.19999980926514,24.783332824707
"PI383553",41.14361111,43.32555556,NA,93,2.31666660308838,12.5666666030884,-8.5833330154419,709,103,37,36.1761627197266,270,121,176,121,10.6333332061768,31.0009708404541,868.21484375,20.2000007629395,-14.1000003814697,34.3000030517578,9.85000038146973,-8.5833330154419
"PI383554",39.92194444,40.69138889,NA,94,6.97499990463257,18.6666660308838,-6.01666688919067,499,75,14,45.4748840332031,196,48,48,115,12.1333332061768,29.8850574493408,1005.171875,28.5,-12.1000003814697,40.5999984741211,6.13333320617676,18.6666660308838
"PI383555",40.88111111,40.41638889,NA,95,12.9166669845581,20.716667175293,5.25,1325,173,72,28.4815063476562,460,239,277,357,7.90000009536743,32.1138191223145,643.249328613281,25.7000007629395,1.10000002384186,24.6000003814697,10.3666667938232,11.2166662216187
