<Phenotype>
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
PI345586	47.83	38.44	9.12	21.35	-3.52	526.0	60.0	32.0	21.33	165.0	106.0	160.0	136.0	8.78	23.91	1020.31	28.5	-8.2	36.7	18.98	16.52
PI369174	54.4	83.34	1.01	17.05	-15.7	450.0	64.0	15.0	41.36	179.0	58.0	179.0	75.0	9.47	20.85	1334.16	24.5	-20.9	45.4	17.05	-13.83
PI380630	38.47	45.67	12.18	24.18	-0.73	257.0	44.0	4.0	57.55	119.0	19.0	32.0	54.0	11.67	29.46	1010.23	32.7	-6.9	39.6	11.13	24.05
PI380631	37.97	46.3	10.28	22.47	-2.35	268.0	49.0	3.0	61.66	126.0	14.0	25.0	62.0	11.23	29.03	1009.8	30.8	-7.9	38.7	8.87	22.27
PI380632	38.48	47.07	10.79	21.67	-0.57	351.0	60.0	9.0	50.39	145.0	35.0	55.0	69.0	11.79	32.22	903.35	30.0	-6.6	36.6	9.92	21.32
PI380633	38.48	47.07	10.79	21.67	-0.57	351.0	60.0	9.0	50.39	145.0	35.0	55.0	69.0	11.79	32.22	903.35	30.0	-6.6	36.6	9.92	21.32
PI380634	38.33	47.87	3.22	13.52	-7.13	410.0	76.0	17.0	55.55	190.0	56.0	76.0	68.0	10.87	31.23	857.57	22.0	-12.8	34.8	1.1	13.42
PI380636	34.18	48.18	12.9	23.82	2.28	377.0	70.0	0.0	80.5	178.0	1.0	6.0	163.0	15.36	39.18	871.02	34.9	-4.3	39.2	3.13	23.38
PI380637	33.54	48.88	11.51	22.85	0.45	330.0	62.0	0.0	81.06	161.0	2.0	8.0	145.0	14.43	36.63	907.42	33.0	-6.4	39.4	1.3	22.37
PI380638	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI380639	34.33	49.33	11.65	23.25	0.02	274.0	49.0	0.0	76.82	126.0	2.0	9.0	114.0	14.29	35.73	932.98	33.4	-6.6	40.0	1.2	22.63
PI380640	38.67	45.18	12.61	24.45	-0.08	246.0	43.0	4.0	55.23	110.0	19.0	32.0	52.0	12.19	31.1	992.88	33.2	-6.0	39.2	12.02	24.07
PI380641	38.0	46.59	9.35	21.27	-3.12	275.0	49.0	4.0	60.1	129.0	17.0	30.0	61.0	11.14	29.01	991.66	29.6	-8.8	38.4	8.1	21.05
PI380642	35.73	53.57	12.97	24.98	0.4	178.0	32.0	3.0	61.87	79.0	10.0	13.0	61.0	11.37	29.83	993.4	32.6	-5.5	38.1	6.75	24.12
PI380654	35.31	59.15	13.91	24.93	2.32	267.0	57.0	1.0	91.08	154.0	3.0	7.0	133.0	12.92	34.91	913.56	32.6	-4.4	37.0	3.73	23.87
PI383546	38.03	35.4	7.59	17.1	-2.47	466.0	60.0	7.0	49.54	177.0	30.0	49.0	149.0	12.49	36.21	800.01	26.6	-7.9	34.5	6.58	17.02
PI383547	37.97	34.68	10.86	20.32	1.07	355.0	52.0	6.0	51.29	142.0	22.0	43.0	98.0	12.43	36.76	783.82	29.1	-4.7	33.8	9.9	20.1
PI383548	37.56	34.51	9.92	19.58	0.1	355.0	52.0	5.0	52.79	146.0	20.0	39.0	105.0	13.63	38.6	792.62	29.3	-6.0	35.3	8.9	19.33
PI383550	39.81	32.75	10.52	20.55	0.08	397.0	53.0	9.0	42.4	136.0	37.0	54.0	130.0	12.02	35.03	831.91	29.1	-5.2	34.3	9.73	20.25
PI383551	38.39	39.67	14.07	26.22	1.72	667.0	94.0	2.0	69.0	271.0	11.0	19.0	270.0	11.53	29.88	1000.9	35.5	-3.1	38.6	6.97	26.15
PI383552	38.87	39.33	12.99	24.78	0.95	728.0	109.0	3.0	65.23	297.0	17.0	17.0	289.0	10.8	28.8	975.11	33.5	-4.0	37.5	3.2	24.78
PI383553	41.14	43.33	2.32	12.57	-8.58	709.0	103.0	37.0	36.18	270.0	121.0	176.0	121.0	10.63	31.0	868.21	20.2	-14.1	34.3	9.85	-8.58
PI383554	39.92	40.69	6.97	18.67	-6.02	499.0	75.0	14.0	45.47	196.0	48.0	48.0	115.0	12.13	29.89	1005.17	28.5	-12.1	40.6	6.13	18.67
PI383555	40.88	40.42	12.92	20.72	5.25	1325.0	173.0	72.0	28.48	460.0	239.0	277.0	357.0	7.9	32.11	643.25	25.7	1.1	24.6	10.37	11.22
PI383556	39.91	41.28	5.2	17.22	-7.63	475.0	75.0	18.0	41.99	186.0	65.0	90.0	92.0	12.01	29.87	1018.14	26.7	-13.5	40.2	9.68	17.17
PI383557	39.91	41.28	5.2	17.22	-7.63	475.0	75.0	18.0	41.99	186.0	65.0	90.0	92.0	12.01	29.87	1018.14	26.7	-13.5	40.2	9.68	17.17
PI383558	41.24	42.7	1.9	12.0	-8.87	835.0	101.0	52.0	22.62	276.0	161.0	209.0	173.0	11.23	32.16	857.83	20.2	-14.7	34.9	9.42	-8.23
PI383561	40.61	43.1	5.2	16.48	-7.87	456.0	79.0	19.0	49.04	195.0	64.0	150.0	64.0	13.25	31.93	995.16	26.4	-15.1	41.5	9.92	-7.87
PI383562	39.92	44.05	11.56	22.97	-0.88	273.0	48.0	10.0	47.88	117.0	35.0	59.0	53.0	12.02	30.99	964.43	31.3	-7.5	38.8	16.32	22.58
PI383563	39.92	44.05	11.56	22.97	-0.88	273.0	48.0	10.0	47.88	117.0	35.0	59.0	53.0	12.02	30.99	964.43	31.3	-7.5	38.8	16.32	22.58
PI383564	40.61	43.1	5.2	16.48	-7.87	456.0	79.0	19.0	49.04	195.0	64.0	150.0	64.0	13.25	31.93	995.16	26.4	-15.1	41.5	9.92	-7.87
PI383565	40.61	43.41	5.4	16.77	-7.35	445.0	81.0	17.0	52.25	197.0	59.0	104.0	59.0	12.49	31.07	985.23	26.4	-13.8	40.2	9.9	-7.35
PI383568	39.92	44.05	11.56	22.97	-0.88	273.0	48.0	10.0	47.88	117.0	35.0	59.0	53.0	12.02	30.99	964.43	31.3	-7.5	38.8	16.32	22.58
PI383569	40.62	43.1	5.01	16.22	-7.83	446.0	77.0	18.0	49.94	191.0	60.0	109.0	60.0	13.12	31.99	983.05	26.1	-14.9	41.0	9.62	-7.83
PI383570	38.09	30.83	10.4	19.48	1.5	565.0	83.0	12.0	48.54	225.0	44.0	64.0	225.0	9.59	32.85	738.1	26.7	-2.5	29.2	1.5	19.18
PI383571	39.68	32.84	10.7	20.68	0.23	399.0	54.0	8.0	42.7	139.0	37.0	54.0	128.0	11.97	35.01	829.97	29.3	-4.9	34.2	9.93	20.42
PI383573	38.7	34.93	11.15	20.48	1.23	377.0	50.0	5.0	45.99	137.0	27.0	46.0	114.0	12.6	37.39	780.91	29.4	-4.3	33.7	10.55	20.18
PI383574	39.51	39.94	5.71	17.05	-5.83	785.0	115.0	10.0	54.94	301.0	39.0	39.0	246.0	10.32	28.52	940.34	25.5	-10.7	36.2	3.9	17.05
PI383575	40.1	40.72	4.96	16.18	-7.27	539.0	83.0	18.0	43.22	209.0	64.0	64.0	114.0	11.72	30.28	959.54	25.6	-13.1	38.7	9.15	16.18
PI383576	40.62	43.41	5.3	16.67	-7.42	447.0	81.0	17.0	52.22	197.0	59.0	106.0	59.0	12.48	31.03	984.47	26.3	-13.9	40.2	9.78	-7.42
PI383577	39.63	44.04	9.46	21.15	-3.02	334.0	58.0	13.0	46.78	140.0	44.0	71.0	64.0	11.49	29.69	980.57	29.8	-8.9	38.7	13.78	20.97
PI383578	39.63	44.04	9.46	21.15	-3.02	334.0	58.0	13.0	46.78	140.0	44.0	71.0	64.0	11.49	29.69	980.57	29.8	-8.9	38.7	13.78	20.97
