<Phenotype>
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
PI440057	41.27	68.12	14.56	28.07	1.03	329.0	49.0	2.0	65.59	135.0	10.0	13.0	132.0	12.87	30.78	1088.71	37.3	-4.5	41.8	8.52	25.98
PI442637	38.41	27.15	17.24	26.33	8.98	692.0	138.0	4.0	81.6	359.0	19.0	19.0	359.0	9.79	34.48	712.33	33.0	4.6	28.4	8.98	26.33
PI486197	38.97	59.56	16.48	30.65	2.38	121.0	21.0	1.0	68.55	58.0	3.0	4.0	44.0	12.87	29.78	1138.89	39.6	-3.6	43.2	9.6	28.93
PI494618	46.0	25.0	7.05	16.7	-3.53	610.0	92.0	25.0	48.0	256.0	81.0	253.0	84.0	11.69	35.54	820.72	23.9	-9.0	32.9	15.28	-1.83
PI494686	44.18	28.65	11.91	21.88	2.23	417.0	47.0	25.0	18.83	119.0	82.0	115.0	82.0	7.63	26.29	803.85	27.2	-1.8	29.0	15.57	2.98
PI494687	43.8	28.58	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI502351	46.31	44.26	9.75	23.37	-3.9	350.0	49.0	17.0	27.84	122.0	61.0	115.0	65.0	9.56	24.51	1111.87	31.0	-8.0	39.0	21.23	-2.78
PI502356	45.05	41.97	9.22	20.4	-2.03	552.0	86.0	23.0	39.64	213.0	75.0	200.0	81.0	9.02	26.86	914.83	27.0	-6.6	33.6	18.4	-1.17
PI531721	36.04	103.87	9.47	21.03	-3.57	356.0	78.0	4.0	84.34	196.0	14.0	190.0	14.0	11.91	30.07	996.45	28.3	-11.3	39.6	19.63	-3.57
PI531722	49.81	-97.14	2.88	19.1	-15.37	548.0	95.0	15.0	59.56	257.0	57.0	257.0	57.0	11.39	22.78	1396.1	26.7	-23.3	50.0	19.1	-15.37
PI531723	49.81	-97.14	2.88	19.1	-15.37	548.0	95.0	15.0	59.56	257.0	57.0	257.0	57.0	11.39	22.78	1396.1	26.7	-23.3	50.0	19.1	-15.37
PI531724	55.75	37.62	5.4	17.43	-6.6	716.0	93.0	35.0	31.58	257.0	115.0	257.0	133.0	7.53	22.42	980.07	23.3	-10.3	33.6	17.43	-0.57
PI531725	52.67	13.42	9.03	17.52	0.82	575.0	61.0	35.0	19.21	180.0	113.0	180.0	135.0	7.7	30.2	680.63	23.1	-2.4	25.5	17.52	4.38
PI531726	52.17	13.54	8.84	17.33	0.65	560.0	76.0	31.0	26.38	189.0	105.0	189.0	122.0	8.26	31.76	680.13	23.3	-2.7	26.0	17.33	4.22
PI547314	42.32	69.6	13.51	26.0	0.8	474.0	71.0	3.0	61.12	187.0	18.0	24.0	168.0	12.8	31.68	1011.02	34.8	-5.6	40.4	7.95	24.58
PI547315	60.09	23.91	4.85	15.28	-4.67	669.0	78.0	33.0	30.55	220.0	109.0	194.0	149.0	6.49	22.16	814.1	20.5	-8.8	29.3	10.33	3.25
PI547316	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI547317	50.45	30.52	8.19	19.23	-2.97	632.0	89.0	36.0	32.41	232.0	114.0	232.0	124.0	7.77	24.73	912.71	24.7	-6.7	31.4	19.23	-1.88
PI547318	52.69	39.25	5.22	18.02	-7.85	565.0	78.0	29.0	30.22	202.0	95.0	202.0	107.0	8.71	23.28	1067.39	24.6	-12.8	37.4	18.02	-7.2
PI547319	60.0	100.0	-4.24	16.22	-25.95	378.0	62.0	11.0	48.82	159.0	40.0	159.0	50.0	11.28	19.32	1692.84	25.5	-32.9	58.4	16.22	-22.42
PI547333	35.0	105.0	6.33	16.67	-4.85	560.0	105.0	3.0	82.37	295.0	13.0	278.0	13.0	10.08	29.48	865.96	22.9	-11.3	34.2	15.48	-4.85
PI547334	51.1	17.03	9.16	18.2	0.4	571.0	89.0	24.0	43.83	237.0	82.0	237.0	85.0	9.17	32.39	726.69	24.7	-3.6	28.3	18.2	1.43
PI547335	50.74	15.74	2.52	10.47	-5.13	891.0	107.0	51.0	27.88	319.0	164.0	319.0	178.0	6.09	26.37	642.6	15.3	-7.8	23.1	10.47	-4.63
PI547336	43.67	6.72	12.54	19.82	6.13	844.0	118.0	22.0	34.74	298.0	117.0	140.0	237.0	8.73	35.91	568.74	25.9	1.6	24.3	9.63	19.8
PI547337	43.57	5.02	14.9	23.08	7.38	662.0	104.0	22.0	35.34	231.0	101.0	101.0	163.0	9.88	35.78	640.45	30.1	2.5	27.6	15.38	23.08
PI547338	43.0	2.75	13.47	20.77	7.05	645.0	80.0	19.0	29.51	209.0	98.0	98.0	190.0	8.2	34.45	567.02	26.8	3.0	23.8	10.48	20.77
PI565004	39.94	-1.07	10.76	19.68	3.23	450.0	62.0	24.0	30.82	157.0	79.0	107.0	85.0	13.52	41.36	675.47	29.9	-2.8	32.7	12.62	4.2
PI574518	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI578689	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI578695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI578699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI598480	47.41	28.37	9.4	19.72	-1.37	579.0	85.0	26.0	36.32	221.0	104.0	215.0	108.0	9.15	28.96	861.97	25.8	-5.8	31.6	18.23	-0.27
PI618797	48.13	60.27	5.8	23.45	-12.58	175.0	18.0	10.0	16.29	52.0	37.0	45.0	41.0	11.88	23.01	1481.64	32.4	-19.2	51.6	15.97	21.02
PI619581	38.92	68.25	-0.52	9.93	-10.05	527.0	75.0	14.0	43.58	217.0	69.0	105.0	129.0	6.03	20.52	839.19	15.3	-14.1	29.4	-2.47	6.23
PI634227	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
PI634290	44.51	33.85	9.35	19.07	0.02	599.0	78.0	40.0	21.19	192.0	126.0	146.0	187.0	8.12	27.99	776.95	24.9	-4.1	29.0	1.78	8.32
